"year","forecast_horizon","intercept","A","D","E","AC","t_intercept","t_A","t_D","t_E","t_AC","adj_r_squared"
1996,3,7.74904611513396,0.0073026278895008,0.525044545431279,0.452554463562915,-0.129265183279475,3.5421434102716,4.97684365382661,3.12423356170955,5.42512621513523,-3.22795147603747,0.555884303258846
1997,3,4.70585041185303,0.00838247432280513,0.377543498597051,0.527687264187533,-0.166082826192508,1.84218759427391,5.5076745223655,2.1832269384432,6.31492736485602,-3.36940534849245,0.556021385287164
1998,3,2.92971791442024,0.00815593224036457,0.252865812188274,0.622486657850064,-0.184489167878074,1.23373184198673,5.76960914454068,1.5796832487658,7.96075501095675,-3.78925726672185,0.584277522832601
1999,3,-0.0287668120010191,0.00874506761519763,0.276111957346067,0.694871133704732,-0.156918976645792,-0.0118960646137522,5.26507584265556,1.66306599136766,8.74754035072614,-3.18936074691008,0.586880793740686
2000,3,-4.48278490862926,0.00778746270374567,0.42035789175258,0.696828959448346,-0.127296134882594,-1.48091711481734,4.56235279083649,2.19646603526512,8.34819229781384,-2.38549034275598,0.364567524265445
2001,3,-7.35701228920205,0.00797232465252932,0.723395214659383,0.604176893991556,-0.0659049356972325,-2.4545060533244,5.10519056401081,3.9124205489052,7.52903315614437,-1.28035716418934,0.326468859000906
2002,3,-6.28078133378902,0.00728751656132268,0.775868925273053,0.627325412086181,-0.0508217306739397,-2.06138656854945,5.26433838519453,4.62711902255559,8.90189850401504,-1.09953501418553,0.363072893353761
2003,3,-4.48797717721765,0.00688656875735415,0.852848133302941,0.60802597747579,-0.0851122305505611,-1.39153053901955,5.63760536770533,5.31666713576786,9.93989758852304,-2.17963100672733,0.395663235755818
2004,3,-2.03024648989498,0.00601521256986187,0.952009142498732,0.610787339465164,-0.0962044849371824,-0.542449059635082,5.0669362634257,5.64098621300825,10.3909457976427,-2.69236105826047,0.423117790355403
2005,3,0.0701389753061734,0.00559816365448126,1.07112511869677,0.652553817972747,-0.0594320371505339,0.0170302615703518,4.79569693554289,5.56077873922994,11.5809224856172,-1.49744523684582,0.459150821902938
2006,3,3.53363298588635,0.00235499176381063,1.18336776633709,0.6652985782209,-0.0586147464803422,0.756969024240617,1.7577814922546,5.8813768889703,10.1680443076589,-1.47133650099745,0.428961363005162
2007,3,19.8878361633612,-0.00596781753202877,1.62881774519148,0.61515078115746,0.0358614004055793,1.88339218865718,-1.8702652183365,4.44165633936707,5.61784116331016,0.512641140748088,0.262005437314091
2008,3,27.4300831060488,-0.00812535314739867,1.56044319642023,0.621275431219531,0.0762451542007378,2.43140492597224,-2.60805051158899,4.69615688547373,6.16571810243769,1.02298992302109,0.252213900333742
